time,open,high,low,close,K,D
2012-05-30T09:30:00-04:00,2847.27,2847.27,2825.64,2837.36,87.19678153366517,85.06904735806084
2012-05-31T09:30:00-04:00,2837.37,2842.43,2801.96,2827.34,84.1393712293882,85.99715556031579
2012-06-01T09:30:00-04:00,2810.13,2810.13,2747.24,2747.48,62.54300931483342,77.95972069262892
2012-06-04T09:30:00-04:00,2747.61,2769.93,2726.68,2760.01,51.87128753738117,66.18455602720093
2012-06-05T09:30:00-04:00,2749.35,2781.97,2749.34,2778.11,48.78964702116582,54.401314624460134
2012-06-06T09:30:00-04:00,2796.23,2844.72,2796.23,2844.72,70.3860089357206,57.01564783142252
2012-06-07T09:30:00-04:00,2872.05,2873.59,2827.82,2831.02,85.73129845790788,68.30231813826477
2012-06-08T09:30:00-04:00,2823.82,2860.94,2814.8,2858.42,97.71433332849672,84.61054690737507
2012-06-11T09:30:00-04:00,2882.49,2882.96,2806.9,2809.73,87.57089543172685,90.33884240604381
2012-06-12T09:30:00-04:00,2815.84,2843.67,2802.38,2843.07,87.85809334792843,91.04777403605067
2012-06-13T09:30:00-04:00,2838.12,2853.17,2810.59,2818.61,80.88786994672542,85.43895290879357
2012-06-14T09:30:00-04:00,2820.63,2842.31,2807.55,2836.33,88.41756124228863,85.7211748456475
2012-06-15T09:30:00-04:00,2839.4,2874.38,2837.94,2872.8,90.41602999759031,86.57382039553477
2012-06-18T09:30:00-04:00,2872.49,2903.03,2853.86,2895.33,97.38625339879333,92.0732815462241
2012-06-19T09:30:00-04:00,2909.87,2940.23,2908.45,2929.76,100,95.93409446546121
2012-06-20T09:30:00-04:00,2932.96,2942.28,2910,2930.45,100,99.1287511329311
2012-06-21T09:30:00-04:00,2929.15,2930.93,2857.1,2859.09,87.59167762175413,95.8638925405847
2012-06-22T09:30:00-04:00,2866.17,2894.35,2863.93,2892.42,79.13641940187047,88.90936567454155
2012-06-25T09:30:00-04:00,2863.89,2863.89,2829.23,2836.16,52.906815712030465,73.21163757855169
2012-06-26T09:30:00-04:00,2845.4,2862.15,2832.02,2854.06,43.754551363392615,58.599262159097854
2012-06-27T09:30:00-04:00,2862.13,2882.4,2860.13,2875.32,36.085886688567705,44.249084587996926
2012-06-28T09:30:00-04:00,2853.89,2855.74,2818.19,2849.49,39.647597589650225,39.829345213870184
2012-06-29T09:30:00-04:00,2902.44,2935.13,2895.6,2935.05,57.86526940496856,44.5329178943955
2012-07-02T09:30:00-04:00,2938.41,2951.23,2925.71,2951.23,73.98919229967716,57.16735309809866
2012-07-03T09:30:00-04:00,2950.81,2976.08,2948.4,2976.08,96.65708508843464,76.17051559769345
2012-07-05T09:30:00-04:00,2970.37,2987.94,2958.3,2976.12,100,90.21542579603727
2012-07-06T09:30:00-04:00,2955.2,2957.5,2921.37,2937.33,87.6368011151307,94.76462873452179
2012-07-09T09:30:00-04:00,2934.49,2942.99,2919.04,2931.77,73.56321947078094,87.06667352863722
2012-07-10T09:30:00-04:00,2945.35,2953.47,2891.42,2902.33,50.577068433036935,70.5923630063162
2012-07-11T09:30:00-04:00,2898.77,2905.51,2866.53,2887.98,35.77936540388854,53.30655110256881
2012-07-12T09:30:00-04:00,2867.08,2876.32,2837.72,2866.19,16.51961371490497,34.29201585061015
2012-07-13T09:30:00-04:00,2874.06,2913.28,2873.39,2908.47,18.99890069948728,23.76595993942693
2012-07-16T09:30:00-04:00,2903.03,2910.2,2888.01,2896.94,22.159239954431083,19.22591812294111
2012-07-17T09:30:00-04:00,2911.46,2916.61,2871.65,2910.04,35.46650679762803,25.541549150515465
2012-07-18T09:30:00-04:00,2904.24,2951.3,2902.95,2942.6,45.306851214665606,34.31086598890824
2012-07-19T09:30:00-04:00,2961.71,2976.22,2952.42,2965.9,64.80666492221313,48.526674311502255
2012-07-20T09:30:00-04:00,2957.02,2957.02,2925.3,2925.3,66.44299957012451,58.85217190233442
2012-07-23T09:30:00-04:00,2877.51,2898.05,2852.88,2890.15,48.184170545167454,59.811278345835035
2012-07-24T09:30:00-04:00,2894.95,2896.56,2847.22,2862.99,19.351586163360505,44.65958542621749
