Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,36.270000,37.573002,36.230000,37.419998,36.394398,232200
2019-01-03,37.000000,37.140999,35.910000,36.189999,35.198109,256100
2019-01-04,36.900002,38.560001,36.860001,38.430000,37.376720,317400
2019-01-07,38.669998,40.330002,38.389999,40.099998,39.000950,524500
2019-01-08,40.709999,40.830002,39.307999,40.220001,39.117657,461700
2019-01-09,40.400002,41.750000,40.310001,41.480000,40.343128,797800
2019-01-10,41.200001,41.700001,40.501999,41.689999,40.547367,335100
2019-01-11,41.279999,41.889999,41.160000,41.779999,40.634903,312500
2019-01-14,41.200001,41.493999,40.900002,41.029999,39.905457,257100
2019-01-15,41.419998,42.320000,41.419998,42.279999,41.121197,591500
2019-01-16,42.330002,43.013000,42.230000,42.310001,41.150379,344600
2019-01-17,42.209999,43.020000,42.070000,42.639999,41.471333,301500
2019-01-18,42.849998,43.139999,42.400002,42.799999,41.626945,490700
2019-01-22,42.119999,42.119999,40.888000,41.110001,39.983269,417000
2019-01-23,41.299999,41.520000,40.330002,40.700001,39.584503,288700
2019-01-24,40.770000,41.590000,40.770000,41.580002,40.440388,287200
2019-01-25,41.959999,42.639999,41.709999,42.570000,41.403248,242300
2019-01-28,41.759998,41.889999,41.160000,41.680000,40.537643,282700
2019-01-29,41.759998,41.845001,41.130001,41.250000,40.119427,231000
2019-01-30,41.750000,42.459999,41.270000,42.270000,41.111473,327400
2019-01-31,42.250000,43.240002,42.105000,43.049999,41.870094,401100
2019-02-01,43.009998,43.509998,42.730000,43.110001,41.928452,247800
2019-02-04,43.049999,43.799999,42.860001,43.799999,42.599537,276400
2019-02-05,43.919998,44.349998,43.650002,43.919998,42.716248,292600
2019-02-06,43.860001,44.200001,43.549000,43.959999,42.755154,306600
2019-02-07,43.369999,43.439999,42.125000,42.490002,41.325447,373700
2019-02-08,42.150002,43.040001,42.130001,42.990002,41.811741,292800
2019-02-11,43.160000,43.735001,43.136002,43.419998,42.229954,185800
2019-02-12,43.770000,44.290001,43.580002,44.250000,43.037205,314400
2019-02-13,44.450001,44.790001,44.310001,44.540001,43.319260,432800
2019-02-14,44.410000,44.730000,44.180000,44.660000,43.435966,331800
2019-02-15,45.119999,45.189999,44.898998,45.189999,43.951443,208600
2019-02-19,45.009998,45.500000,45.000000,45.220001,43.980621,299400
2019-02-20,45.310001,45.874001,45.286999,45.590000,44.340477,328800
